A,B,C,D,E,F,G,H,I
0.094785289,0.156244307,0.160787948,0.016881896,0.12223082,0.019321308,0.178974326,0.216830824,0.033943282
0.113096629,0.074367089,0.089353369,0.161774858,0.134180458,0.056626248,0.131202119,0.058783348,0.180615882
0.096219247,0.093488057,0.152610554,0.002979499,0.190976913,0.198208248,0.037742187,0.187920783,0.039854511
0.098153308,0.149019844,0.191358465,0.106738801,0.146465683,0.018574134,0.066409223,0.103151208,0.120129333
0.185952833,0.117707412,0.120271822,0.011831299,0.086365922,0.125103424,0.100612896,0.094177842,0.157976549
0.007426898,0.203535233,0.153565036,0.117545974,0.153695431,0.003774047,0.137735011,0.185638179,0.03708419
0.114874215,0.014365118,0.123628855,0.082352177,0.214394037,0.030200324,0.205093125,0.025316402,0.189775748
0.017172469,0.215625535,0.007848283,0.169099118,0.017215027,0.241623279,0.101152833,0.067080154,0.163183302
0.149807216,0.183612148,0.128918228,0.054366592,0.002388602,0.147313676,0.077565688,0.071350256,0.184677595
0.095962229,0.183073447,0.112037963,0.133417195,0.122555677,0.023265752,0.096518587,0.111430182,0.121738967
0.001579563,0.116169447,0.003226289,0.173058123,0.086771844,0.096939905,0.110068761,0.228539818,0.183646249
0.038625571,0.07783158,0.218016747,0.24593954,0.014953733,0.164476673,0.060547561,0.119160719,0.060447875
0.160258789,0.099200318,0.008916275,0.100524491,0.178016056,0.06328914,0.203664755,0.147716783,0.038413394
0.064496386,0.026708027,0.230652518,0.207651789,0.00590641,0.026478604,0.173218856,0.215081139,0.049806271
0.000648605,0.015375831,0.236123634,0.050079077,0.238635894,0.050144628,0.242295542,0.069671826,0.097024964
0.15725471,0.204868564,0.046591004,0.143237523,0.108019037,0.104951426,0.10315625,0.126613611,0.005307876
0.0647193,0.252774426,0.002779695,0.208229087,0.054426252,0.038745407,0.185273793,0.065541315,0.127510727
0.029629676,0.1909549,0.233984276,0.061148778,0.042228018,0.143114251,0.098017042,0.1774529,0.023470159
0.293191621,0.050883108,0.109476756,0.073320068,0.035265769,0.092577629,0.111707593,0.04613771,0.187439746
0.065855084,0.248283172,0.007304721,0.125766669,0.16292011,0.030603693,0.120581037,0.007312716,0.231372798
0.067050527,0.054844039,0.167318031,0.078380849,0.18560526,0.05583448,0.118680404,0.19108706,0.081199348
0.161402145,0.190283859,0.115415619,0.050524345,0.055076368,0.00068886,0.136125074,0.113968367,0.176515362
0.083995112,0.151273921,0.111419325,0.085067837,0.029958301,0.044077765,0.145349909,0.117672928,0.231184902
0.136072114,0.129322673,0.115422644,0.071964106,0.155400079,0.11079423,0.130571152,0.143006149,0.007446854
0.096055115,0.049092624,0.119260362,0.139234693,0.122991779,0.126730789,0.164731387,0.057375183,0.124528068
